tensor_id,layer_name,layer_type,shape,dtype,num_parameters,parameter_percentage,requires_grad,quantized
99,model.layers.10.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
100,model.layers.11.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
101,model.layers.11.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
102,model.layers.11.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
103,model.layers.11.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
104,model.layers.11.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
105,model.layers.11.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
106,model.layers.11.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
107,model.layers.11.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
108,model.layers.11.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
109,model.layers.12.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
110,model.layers.12.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
111,model.layers.12.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
112,model.layers.12.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
113,model.layers.12.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
